"","hid","hgame","hfish","hpigs","hwealth","hpastor"
"1",1,0.05,0.06,0,14.162,0
"2",2,0.25,0.17,1.75,27.405,0
"3",3,2.29,0.66,5.75,9.9,0
"4",4,0.04,0.43,1.5,7.267,0
"5",5,0.07,0.12,1.25,9.982,0
"6",6,0.03,0.2,2.5,16.186,0
"7",7,0.27,0.74,3,8.068,0
"8",8,0.04,0.16,2,17.437,0
"9",9,0.39,0.3,5.75,16.931,0
"10",10,6.09,0.04,0,17.421,0
"11",11,0.05,0.27,3,12.353,0
"12",12,0.11,0.52,1,8,0
"13",13,2.21,0.34,3.5,9.272,0
"14",14,0.27,0.36,5.75,20.627,1
"15",15,0.07,0.04,2.25,14.173,0
"16",16,0.03,0.19,5.25,7.596,0
"17",17,0.28,0.31,7.75,19.222,1
"18",18,0.1,0.1,9.5,23.677,0
"19",19,0.01,0.03,3.75,15.907,0
"20",20,0.87,0.45,5.75,8.707,0
"21",21,3.52,0.17,4.75,16.088,0
"22",22,0.76,0.06,0.5,24.104,0
"23",23,1.88,0.32,7.67,26.974,0
"24",24,0.02,0.03,5,20.494,0
"25",25,0.01,0.21,0.5,9.897,0
